ratio,sol_nodes_num,sol_nodes_ratio_origin,sol_nodes_ratio,remain_ratio_origin,remain_ratio
0.16,967,0.804492512,0.903924171,0.809205021,0.909219125
0.16,966,0.803660566,0.9029894,0.809045226,0.90903958
0.16,952,0.792013311,0.889902597,0.797319933,0.895865093
0.16,981,0.816139767,0.917010974,0.819548872,0.920841429
0.16,970,0.806988353,0.906728487,0.810359231,0.91051599
0.16,973,0.809484193,0.909532801,0.812186978,0.912569638
0.16,955,0.794509151,0.892706911,0.79916318,0.897936157
0.16,957,0.796173045,0.894576455,0.80083682,0.899816652
0.16,953,0.792845258,0.890837369,0.796157059,0.894558493
0.16,955,0.794509151,0.892706911,0.800502934,0.899441499
0.16,961,0.799500832,0.898315542,0.8041841,0.90357764
0.16,956,0.795341098,0.893641683,0.797331109,0.895877651
0.17,939,0.781198003,0.877750565,0.784461153,0.881417026
0.17,957,0.796173045,0.894576455,0.798831386,0.897563355
0.17,953,0.792845258,0.890837369,0.799496644,0.898310836
0.17,956,0.795341098,0.893641683,0.799331104,0.898124836
0.17,947,0.787853577,0.885228738,0.793132328,0.891159919
0.17,954,0.793677205,0.89177214,0.797658863,0.896245913
0.17,941,0.782861897,0.879620109,0.786131997,0.883294379
0.17,973,0.809484193,0.909532801,0.814225941,0.914860608
0.17,979,0.814475874,0.915141431,0.816513761,0.917431192
0.17,938,0.780366057,0.876815794,0.787573468,0.884914009
0.17,976,0.811980033,0.912337116,0.816053512,0.916914058
0.17,960,0.798668885,0.89738077,0.80604534,0.905668921
0.17,957,0.796173045,0.894576455,0.804878049,0.904357358
0.17,931,0.774542429,0.870272392,0.778428094,0.874638308
0.17,967,0.804492512,0.903924171,0.811241611,0.911507428
0.17,956,0.795341098,0.893641683,0.802013423,0.901138678
0.17,951,0.791181364,0.888967825,0.7958159,0.894175169
0.17,948,0.788685524,0.88616351,0.791318865,0.88912232
0.17,954,0.793677205,0.89177214,0.798994975,0.897747163
0.17,960,0.798668885,0.89738077,0.805369128,0.904909133
0.17,959,0.797836938,0.896445998,0.805882353,0.90548579
0.17,962,0.800332779,0.899250313,0.80704698,0.90679436
0.17,959,0.797836938,0.896445998,0.801839465,0.900943219
0.17,941,0.782861897,0.879620109,0.786789298,0.884032919
0.17,960,0.798668885,0.89738077,0.802675585,0.90188268
0.17,962,0.800332779,0.899250313,0.804347826,0.903761602
0.17,951,0.791181364,0.888967825,0.795150502,0.89342753
0.17,949,0.789517471,0.887098282,0.793478261,0.891548608
0.17,938,0.780366057,0.876815794,0.78559464,0.882690607
0.17,962,0.800332779,0.899250313,0.803675856,0.90300658
0.17,972,0.808652246,0.908598029,0.812030075,0.912393343
0.17,958,0.797004992,0.895511227,0.803017603,0.90226697
0.17,955,0.794509151,0.892706911,0.801174497,0.900196064
0.17,980,0.81530782,0.916076202,0.81803005,0.919134888
0.17,981,0.816139767,0.917010974,0.822986577,0.924704019
0.17,976,0.811980033,0.912337116,0.816053512,0.916914058
0.17,960,0.798668885,0.89738077,0.802675585,0.90188268
0.17,959,0.797836938,0.896445998,0.799833194,0.898688982
0.17,965,0.802828619,0.902054628,0.806182122,0.905822609
0.17,956,0.795341098,0.893641683,0.797996661,0.896625462
0.17,943,0.78452579,0.881489652,0.789782245,0.887395781
0.17,930,0.773710483,0.869337621,0.77954736,0.87589591
0.17,936,0.778702163,0.874946251,0.783263598,0.880071458
0.17,958,0.797004992,0.895511227,0.801003344,0.900003757
0.17,966,0.803660566,0.9029894,0.805671393,0.905248756
0.17,941,0.782861897,0.879620109,0.786789298,0.884032919
0.17,944,0.785357737,0.882424424,0.792611251,0.890574439
0.17,971,0.8078203,0.907663258,0.812552301,0.912980113
0.17,960,0.798668885,0.89738077,0.80334728,0.902637393
0.17,956,0.795341098,0.893641683,0.800670017,0.899629233
0.18,958,0.797004992,0.895511227,0.80167364,0.900756899
0.18,926,0.770382696,0.865598535,0.775544389,0.87139819
0.18,968,0.805324459,0.904858943,0.809364548,0.909398369
0.18,967,0.804492512,0.903924171,0.807852966,0.907699962
0.18,957,0.796173045,0.894576455,0.801507538,0.900570267
0.18,963,0.801164725,0.900185084,0.805183946,0.904701063
0.18,948,0.788685524,0.88616351,0.79264214,0.890609146
0.18,957,0.796173045,0.894576455,0.798831386,0.897563355
0.18,933,0.776206323,0.872141936,0.782062028,0.87872138
0.18,951,0.791181364,0.888967825,0.7958159,0.894175169
0.18,943,0.78452579,0.881489652,0.788461538,0.88591184
0.18,932,0.775374376,0.871207164,0.776666667,0.872659176
0.18,958,0.797004992,0.895511227,0.802345059,0.901511302
0.18,952,0.792013311,0.889902597,0.797988265,0.896616028
0.18,948,0.788685524,0.88616351,0.795969773,0.89434806
0.18,942,0.783693844,0.880554881,0.786967419,0.884233055
0.18,967,0.804492512,0.903924171,0.807852966,0.907699962
0.18,951,0.791181364,0.888967825,0.795150502,0.89342753
0.18,966,0.803660566,0.9029894,0.805671393,0.905248756
0.18,946,0.787021631,0.884293967,0.794290512,0.892461249
0.18,952,0.792013311,0.889902597,0.795986622,0.894366991
0.18,950,0.790349418,0.888033054,0.795644891,0.893983024
0.18,947,0.787853577,0.885228738,0.79048414,0.888184427
0.18,957,0.796173045,0.894576455,0.800167224,0.899064297
0.18,936,0.778702163,0.874946251,0.784576697,0.881546851
0.18,950,0.790349418,0.888033054,0.798990749,0.897742415
0.18,963,0.801164725,0.900185084,0.804511278,0.903945256
0.18,946,0.787021631,0.884293967,0.790309106,0.88798776
0.18,967,0.804492512,0.903924171,0.809205021,0.909219125
0.18,929,0.772878536,0.868402849,0.776106934,0.872030263
