	sample	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil	group
31	GSM3615325	0.313693340144788	0.426274493022942	0.251422846384662	-0.145571764737427	0.504690132999533	0.0236192352068825	0.133967973171509	0.370677566036889	0.133762694304794	-0.0314813540959037	0.00791760717531509	0.293419498392578	-0.209499719545023	-0.0142539726801182	0.062793239926112	0.362083121731607	0.239069792929591	0.382531131310964	0.336940165411182	0.0183687511284301	0.182708270395538	0.397940069452818	0.348705034114291	0.211591777832562	-0.275302221396936	-0.0603700911609339	0.603841537042878	-0.136751302205722	Control
32	GSM3615326	0.296294335877049	0.421888256047549	0.263715060617511	-0.135432590525847	0.489788016208741	0.0133245320855054	0.145356156843912	0.379547244623971	0.154279150256223	-0.0326304519980155	0.00653863396479913	0.32575172795943	-0.237403812903975	-0.014919376516582	0.0507008527072147	0.355588598648005	0.261017409073649	0.378886259226334	0.353439974920983	0.0267668444702379	0.209316517504735	0.404493698172071	0.363160199767587	0.237751920443194	-0.280242010289907	-0.00454572457917418	0.612301502494974	-0.11050665331	Control
33	GSM3615327	0.205686656599647	0.409022443445773	0.186238551312898	-0.191696885587232	0.492690842816808	0.00821432300673188	0.146563812772467	0.342610513997836	0.122110663394674	-0.0415095370664291	0.00864824154314599	0.269329258215478	-0.27647181743464	-0.0386642632415233	0.0543695723545893	0.347540111272074	0.259235540648363	0.38303768199856	0.271336958763307	0.0115897201583426	0.155217900911843	0.409380017622502	0.357089316160431	0.186945760752919	-0.299892219817997	-0.114935066696649	0.594148573659104	-0.182897472078628	Control
34	GSM3615328	0.275136425445529	0.445716808492797	0.241720483769648	-0.160212989422935	0.494859277214821	0.0232980408483051	0.148520011944545	0.374526911142927	0.131491434148711	-0.0171693559872997	-0.00627843935154994	0.293338838001804	-0.235778932150438	0.0202750100477884	0.0294794495464774	0.347445244300718	0.270779271555557	0.395810268612009	0.335901983982319	0.0291952278478216	0.198897127086971	0.400126231796342	0.341809132808539	0.238967598898478	-0.24047852572637	-0.0525581608718171	0.61636572648026	-0.170310838426619	Control
35	GSM3615329	0.249295806526468	0.444050904624929	0.217703266440907	-0.169926850073614	0.508586780758627	0.00991644222288008	0.157958115500445	0.360507190780631	0.124094540440618	-0.054288719789003	0.0170030568643946	0.320943332062784	-0.201900258321757	0.0248783136952659	0.064080131087997	0.342548956224386	0.242851116956016	0.393464608007667	0.312509374981894	0.0249787331175058	0.176077214488154	0.404428365303581	0.344870038213555	0.207195828346823	-0.285860170060402	-0.0817879903906416	0.60736481832574	-0.134309326847864	Control
36	GSM3615330	0.337222622045034	0.456446340561353	0.290997456443008	-0.0907785405076092	0.521758626344834	0.0262239489669446	0.167240782253323	0.379567605291179	0.162431927984363	-0.00588337666167409	-0.0153230921534341	0.329828625339747	-0.174651460393796	0.0607125184920453	0.0026506844951999	0.347371099703205	0.279849584754056	0.41036683151414	0.433539972201286	0.0350415717655417	0.227266240114175	0.395878469454188	0.357350409539601	0.264181537561825	-0.274523308937104	-0.0196459330939611	0.619891398156598	-0.143521763243332	Control
37	GSM3615331	0.26219903417512	0.449635291175808	0.245724727804072	-0.148436755345161	0.510756207098451	0.0112728997526172	0.168430654929995	0.365834896467035	0.114298665939417	-0.0499392783444718	0.00860913826612254	0.304248047131802	-0.216011195564308	0.0241137402451275	0.0681067211709862	0.356913763160218	0.265877564272573	0.39337027874337	0.306313293207333	0.0361404623961371	0.189153036985609	0.409276831702965	0.352759650438211	0.213008369827302	-0.261405230821728	-0.0590265368904371	0.613839455778876	-0.146536689503119	Control
38	GSM3615332	0.288843712906681	0.440081916897766	0.246013321686658	-0.145824312100292	0.495601502171759	0.00449934052784094	0.172955047511129	0.361667411486392	0.125759504453148	-0.0124739404177725	0.00975180825264487	0.296076874025603	-0.206135105022932	-0.00216104270284936	0.0570775224747612	0.348886791584946	0.261522761162268	0.394206509953785	0.276562527327867	0.0322976462084507	0.193747893105237	0.396821030443766	0.353333100865375	0.235268756895148	-0.236172783085132	-0.102906156337303	0.616553065682616	-0.202405728270867	Control
39	GSM3615333	0.260075138350162	0.441952682158493	0.260526871359801	-0.162986802213136	0.499987096296783	0.0181460013055984	0.158921165587201	0.361681110232927	0.138875008217758	-0.0500404711123823	0.00144267416570449	0.312775292069444	-0.206472390092355	0.0386448068103732	0.0507155215424691	0.351922833838978	0.249955449006504	0.387679762578505	0.318421093141929	0.0207981680169849	0.169097207299278	0.406417004083096	0.352548362504005	0.234986089925886	-0.261434679144451	-0.0466121504103489	0.620965782366226	-0.171718547643213	Control
40	GSM3615334	0.290533998612715	0.44480028972715	0.242264319926492	-0.164585301888715	0.502985268024402	0.0111447351387096	0.151886844153154	0.389546889342815	0.136436748480712	-0.0549409360839747	-0.0133197417824995	0.325265522906393	-0.188792426435743	0.022750811142704	0.022791130081641	0.332005945450343	0.271363337310616	0.411700961210724	0.386176298641242	0.0444890623262488	0.204304444695073	0.413269839075033	0.344624567979957	0.246287025412499	-0.275090623887147	-0.0157754240254978	0.620170891018175	-0.0641514634971547	Control
41	GSM3615335	0.248519384150538	0.439307310789721	0.183842495708811	-0.153804728226455	0.496753071305087	0.011104680810657	0.12751190166984	0.37697180184702	0.134059271168473	-0.0342198048876835	0.000241049386438496	0.291130494495411	-0.259626880651276	0.00790868451835136	0.0563974243583905	0.319624762102764	0.27052551303602	0.400361749667298	0.324226274660681	0.0439076832661513	0.184531186666723	0.392003634879541	0.351897538322463	0.194469563535957	-0.262719286369825	-0.0141938221401005	0.619997306551942	-0.113538300962298	Control
42	GSM3615336	0.264329065027454	0.440545230129146	0.23335272842675	-0.13009800068876	0.516725522314564	0.0232895906291208	0.166623717839941	0.35932697573277	0.136316361809653	-0.0561662625211257	0.0212234503466204	0.311153739758547	-0.199668004296576	0.00649702858728959	0.0365222510558085	0.36100611372343	0.248538822172919	0.390449206757074	0.303022330401928	0.0363543353373537	0.191069126392379	0.398025689089329	0.360092456677414	0.222348666122744	-0.252997754723766	-0.0413215728215562	0.601456332829086	-0.152455941706301	Control
43	GSM3615337	0.37168665660392	0.454836024550209	0.268829754784368	-0.0764224456855419	0.512723841641073	0.0231445428715256	0.165647095233205	0.381062401432451	0.163919738759907	-0.0467682793190763	0.0491521888417339	0.313666519805114	-0.165840560640877	0.0783494432586583	0.0642114758496404	0.344729139540663	0.269806714312733	0.385205803966158	0.412658119357318	0.065071154270047	0.20953620721249	0.414677402962168	0.35774085843175	0.217322215172237	-0.25774014887483	-0.0726869029190046	0.618084802142569	-0.125864112441956	Control
44	GSM3615338	0.265364876320443	0.449132578437826	0.255802024181745	-0.111210515954148	0.511334067500325	0.0228541938029733	0.166586981454739	0.385443432211505	0.140950418467799	-0.0489791396254093	-0.0157630726086628	0.310149227803384	-0.191900225827977	0.0639512212599452	0.02099580128233	0.334071260461475	0.275080790185552	0.390537347678581	0.36215252426856	0.0427673702555491	0.219595473489024	0.403911496694131	0.362524508392038	0.250099123239395	-0.274545568575904	0.0167344504555218	0.628972701725094	-0.11614945065072	Control
45	GSM3615339	0.217010826040902	0.439365138472441	0.212787979181489	-0.122426545654149	0.495224487683636	0.0298125091152265	0.12502031996755	0.370200616792056	0.131003032532913	-0.0659414930690851	-0.0126888168863842	0.31000561742471	-0.209173529648706	0.0267476029635597	0.0240284537776913	0.322577234690439	0.264325660420313	0.374914280795613	0.319985502750672	0.00614787262391983	0.193038841860727	0.390418095190893	0.353675313896945	0.231582401948381	-0.292717420949794	-0.00216641237830549	0.602548092058909	-0.177638120326556	Control
46	GSM3615340	0.340464350148009	0.439094311292718	0.267091813049315	-0.135789105168069	0.506376667687212	0.0107015662013473	0.155873294537718	0.385709283805266	0.146692360733967	-0.0311203356720064	-0.0151287103714187	0.323401720593004	-0.206523777714856	0.0634881146288392	0.0633806233556111	0.327416569907564	0.273502335955338	0.382004116393159	0.382378894272926	0.0215709542926152	0.230823192677287	0.407350347481867	0.36034230073134	0.255583419721554	-0.284076679534836	-0.0227810788811366	0.616726717658855	-0.152217023217309	Control
